size_mb	recordcount	fieldcount	fieldlength	approx_value_bytes_per_record	workload_file
1	1024	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_001mb.properties
2	2048	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_002mb.properties
4	4096	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_004mb.properties
8	8192	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_008mb.properties
16	16384	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_016mb.properties
24	24576	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_024mb.properties
32	32768	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_032mb.properties
48	49152	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_048mb.properties
64	65536	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_064mb.properties
96	98304	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_096mb.properties
128	131072	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_128mb.properties
192	196608	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_192mb.properties
256	262144	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_256mb.properties
384	393216	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_384mb.properties
512	524288	1	1014	1024	/home/seunghyun/ycsb/workloads/working_set_512mb.properties
