scenario,policy,benchmark,placement_tag,placement_detail,omp_threads,repeat,trial_time_s,perf_sched_status,perf_sched_trace_path,perf_sched_cpus
busy-cores,eevdf,bfs,,,3,1,0.095860,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__bfs__r1__perf.timehist.log,"0,1,3,4,6,10,11,13,21,27"
busy-cores,eevdf,bfs,,,3,2,0.104880,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__bfs__r2__perf.timehist.log,"0,3,4,7,8,10,21,27"
busy-cores,eevdf,bfs,,,3,3,0.071160,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__bfs__r3__perf.timehist.log,"0,2,3,11,21,27"
busy-cores,eevdf,bfs,,,3,4,0.048040,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__bfs__r4__perf.timehist.log,"0,3,8,12,13,21,22,26,27"
busy-cores,eevdf,bfs,,,3,5,0.118510,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__bfs__r5__perf.timehist.log,"0,2,6,12,21,27"
busy-cores,optimal,bfs,,,3,1,0.024960,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__bfs__r1__perf.timehist.log,"0,1,2"
busy-cores,optimal,bfs,,,3,2,0.092700,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__bfs__r2__perf.timehist.log,"0,1,2"
busy-cores,optimal,bfs,,,3,3,0.024740,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__bfs__r3__perf.timehist.log,"0,1,2"
busy-cores,optimal,bfs,,,3,4,0.071500,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__bfs__r4__perf.timehist.log,"0,1,2"
busy-cores,optimal,bfs,,,3,5,0.100260,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__bfs__r5__perf.timehist.log,"0,1,2"
busy-cores,same-chiplet,bfs,taskset-21-27,taskset -c 21-27,3,1,0.137700,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__bfs__taskset-21-27__r1__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,bfs,taskset-21-27,taskset -c 21-27,3,2,0.120550,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__bfs__taskset-21-27__r2__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,bfs,taskset-21-27,taskset -c 21-27,3,3,0.126170,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__bfs__taskset-21-27__r3__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,bfs,taskset-21-27,taskset -c 21-27,3,4,0.052580,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__bfs__taskset-21-27__r4__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,bfs,taskset-21-27,taskset -c 21-27,3,5,0.120560,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__bfs__taskset-21-27__r5__perf.timehist.log,"21,22,23"
busy-cores,eevdf,cc,,,3,1,0.125830,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__cc__r1__perf.timehist.log,"0,3,12,21,23,27"
busy-cores,eevdf,cc,,,3,2,0.157820,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__cc__r2__perf.timehist.log,"0,2,3,7,13,14,17,21,22,26,27"
busy-cores,eevdf,cc,,,3,3,0.132090,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__cc__r3__perf.timehist.log,"0,2,3,9,13,24,27"
busy-cores,eevdf,cc,,,3,4,0.150680,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__cc__r4__perf.timehist.log,"0,20,27"
busy-cores,eevdf,cc,,,3,5,0.124490,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__eevdf__cc__r5__perf.timehist.log,"0,4,7,9,12,23,27"
busy-cores,optimal,cc,,,3,1,0.064230,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__cc__r1__perf.timehist.log,"0,1,2"
busy-cores,optimal,cc,,,3,2,0.059070,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__cc__r2__perf.timehist.log,"0,1,2"
busy-cores,optimal,cc,,,3,3,0.085110,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__cc__r3__perf.timehist.log,"0,1,2"
busy-cores,optimal,cc,,,3,4,0.083440,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__cc__r4__perf.timehist.log,"0,1,2"
busy-cores,optimal,cc,,,3,5,0.078090,recorded,/home/seunghyun/exp3/exp1/results/full-run-k20-sudo-perf/raw/busy-cores__optimal__cc__r5__perf.timehist.log,"0,1,2"
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,1,0.188290,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r1__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,2,0.173880,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r2__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,3,0.182070,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r3__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,4,0.185330,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r4__perf.timehist.log,"21,22,23"
busy-cores,same-chiplet,cc,taskset-21-27,taskset -c 21-27,3,5,0.196130,recorded,/home/seunghyun/exp3/exp1/results/same-chiplet-4avg-20260325T0308Z/raw/busy-cores__same-chiplet__cc__taskset-21-27__r5__perf.timehist.log,"21,22,23"
