scenario,policy,benchmark,omp_threads,runs,mean_trial_time_s,stdev_trial_time_s
busy-cores,eevdf,bfs,3,5,0.087690,0.028096
busy-cores,eevdf,cc,3,5,0.138182,0.015158
busy-cores,eevdf,pr,3,5,0.671026,0.118553
busy-cores,optimal,bfs,3,5,0.062832,0.036240
busy-cores,optimal,cc,3,5,0.073988,0.011701
busy-cores,optimal,pr,3,5,0.335918,0.022278
busy-cores,same-chiplet,bfs,3,5,0.111512,0.033679
busy-cores,same-chiplet,cc,3,5,0.185140,0.008169
busy-cores,same-chiplet,pr,3,20,0.721092,0.444377
free-cores,eevdf,bfs,3,5,0.016354,0.002409
free-cores,eevdf,cc,3,5,0.041448,0.000862
free-cores,eevdf,pr,3,5,0.182988,0.014190
free-cores,optimal,bfs,3,5,0.012490,0.000261
free-cores,optimal,cc,3,5,0.029470,0.000920
free-cores,optimal,pr,3,5,0.152214,0.000381
free-cores,same-chiplet,bfs,3,20,0.015394,0.004574
free-cores,same-chiplet,cc,3,20,0.037162,0.011835
free-cores,same-chiplet,pr,3,20,0.202158,0.085098
