scenario,policy,benchmark,thread_slot,runs,mean_total_runtime_ms,ccd0_pct,ccd1_pct,ccd2_pct,ccd3_pct,other_pct,core_pct_map
busy-cores,eevdf,bfs,master,5,2739.638600,100.00,0.00,0.00,0.00,0.00,"3:55.15, 0:23.53, 2:11.81, 6:4.91, 4:4.60"
busy-cores,eevdf,bfs,worker-1,5,3556.907000,15.96,0.00,0.00,84.04,0.00,"27:50.14, 21:33.24, 1:6.32, 2:5.56, 3:2.64, 0:1.44, 22:0.33, 26:0.33"
busy-cores,eevdf,bfs,worker-2,5,2645.614400,0.00,100.00,0.00,0.00,0.00,"13:30.89, 12:20.54, 11:20.30, 7:11.96, 10:9.38, 8:6.93"
busy-cores,eevdf,cc,master,5,3050.541400,87.70,0.00,6.88,5.42,0.00,"2:25.40, 0:24.50, 3:20.34, 4:17.46, 14:6.25, 21:5.40, 17:0.63, 22:0.02"
busy-cores,eevdf,cc,worker-1,5,4179.246800,0.00,0.00,0.00,100.00,0.00,"23:34.55, 27:32.34, 26:10.45, 24:10.42, 22:9.28, 21:2.97"
busy-cores,eevdf,cc,worker-2,5,3022.400400,0.00,80.00,20.00,0.00,0.00,"13:30.49, 12:29.27, 20:20.00, 7:11.37, 9:8.87"
busy-cores,eevdf,pr,master,5,3078.138400,100.00,0.00,0.00,0.00,0.00,"0:45.17, 2:20.22, 4:17.08, 3:10.57, 1:6.96"
busy-cores,eevdf,pr,worker-1,5,4263.945200,5.61,0.00,34.39,60.00,0.00,"21:24.82, 19:19.76, 23:19.11, 17:13.62, 27:10.74, 22:5.10, 0:4.78, 5:0.83, 14:0.65, 20:0.36, 26:0.24"
busy-cores,eevdf,pr,worker-2,5,3571.142600,0.00,42.89,17.11,40.00,0.00,"7:22.89, 8:20.00, 22:19.55, 21:17.96, 20:17.11, 27:2.38, 23:0.11"
busy-cores,optimal,bfs,master,5,2548.338000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,bfs,worker-1,5,2443.417600,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,bfs,worker-2,5,2441.544400,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,cc,master,5,2576.271000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,cc,worker-1,5,2468.453800,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,cc,worker-2,5,2462.983200,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,pr,master,5,2705.245600,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,pr,worker-1,5,2600.204800,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,pr,worker-2,5,2593.779800,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,bfs,master,5,3538.844600,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,bfs,worker-1,5,3436.686400,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,bfs,worker-2,5,3399.890400,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,cc,master,5,3703.801400,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,cc,worker-1,5,3510.789600,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,cc,worker-2,5,3485.137600,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,pr,master,20,3239.372350,25.00,25.00,25.00,25.00,0.00,"0:25.00, 14:25.00, 21:25.00, 7:24.99, 8:0.01"
busy-cores,same-chiplet,pr,worker-1,20,3159.522050,25.00,25.00,25.00,25.00,0.00,"1:25.00, 8:25.00, 15:25.00, 22:25.00"
