scenario,policy,benchmark,placement_tag,repeat,thread_slot,thread_tid,thread_pid,total_runtime_ms,ccd0_pct,ccd1_pct,ccd2_pct,ccd3_pct,other_pct,core_pct_map
busy-cores,eevdf,bfs,,1,master,299846,299846,2721.573000,100.00,0.00,0.00,0.00,0.00,"3:56.70, 0:23.91, 4:16.89, 6:2.49"
busy-cores,eevdf,bfs,,1,worker-1,299851,299846,2602.070000,44.81,0.00,0.00,55.19,0.00,"21:43.47, 1:31.59, 3:13.22, 27:11.72"
busy-cores,eevdf,bfs,,1,worker-2,299852,299846,2628.421000,0.00,100.00,0.00,0.00,0.00,"13:60.43, 10:38.05, 11:1.52"
busy-cores,eevdf,bfs,,2,master,299902,299902,2748.435000,100.00,0.00,0.00,0.00,0.00,"3:85.09, 0:8.82, 4:6.09"
busy-cores,eevdf,bfs,,2,worker-1,300011,299902,4075.919000,0.00,0.00,0.00,100.00,0.00,"27:89.55, 21:10.45"
busy-cores,eevdf,bfs,,2,worker-2,300012,299902,2610.974000,0.00,100.00,0.00,0.00,0.00,"7:59.79, 8:31.34, 10:8.87"
busy-cores,eevdf,bfs,,3,master,300346,300346,2734.004000,100.00,0.00,0.00,0.00,0.00,"0:64.45, 3:35.55"
busy-cores,eevdf,bfs,,3,worker-1,300349,300346,2914.632000,34.97,0.00,0.00,65.03,0.00,"21:54.64, 2:27.78, 27:10.39, 0:7.19"
busy-cores,eevdf,bfs,,3,worker-2,300350,300346,2661.354000,0.00,100.00,0.00,0.00,0.00,11:100.00
busy-cores,eevdf,bfs,,4,master,300544,300544,2715.020000,100.00,0.00,0.00,0.00,0.00,"3:98.42, 0:1.58"
busy-cores,eevdf,bfs,,4,worker-1,300546,300544,4055.654000,0.00,0.00,0.00,100.00,0.00,"21:49.09, 27:47.58, 22:1.67, 26:1.66"
busy-cores,eevdf,bfs,,4,worker-2,300547,300544,2665.821000,0.00,100.00,0.00,0.00,0.00,"13:94.00, 8:3.32, 12:2.69"
busy-cores,eevdf,bfs,,5,master,300845,300845,2779.161000,100.00,0.00,0.00,0.00,0.00,"2:59.06, 6:22.04, 0:18.90"
busy-cores,eevdf,bfs,,5,worker-1,300850,300845,4136.260000,0.00,0.00,0.00,100.00,0.00,"27:91.45, 21:8.55"
busy-cores,eevdf,bfs,,5,worker-2,300851,300845,2661.502000,0.00,100.00,0.00,0.00,0.00,12:100.00
busy-cores,optimal,bfs,,1,master,302728,302728,2516.365000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,bfs,,1,worker-1,302730,302728,2414.749000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,bfs,,1,worker-2,302731,302728,2412.662000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,bfs,,2,master,302789,302789,2562.954000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,bfs,,2,worker-1,302791,302789,2455.596000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,bfs,,2,worker-2,302792,302789,2459.063000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,bfs,,3,master,302872,302872,2550.201000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,bfs,,3,worker-1,302874,302872,2436.981000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,bfs,,3,worker-2,302875,302872,2435.439000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,bfs,,4,master,302925,302925,2552.582000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,bfs,,4,worker-1,302927,302925,2452.775000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,bfs,,4,worker-2,302928,302925,2448.202000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,bfs,,5,master,302977,302977,2559.588000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,bfs,,5,worker-1,302979,302977,2456.987000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,bfs,,5,worker-2,302980,302977,2452.356000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,1,master,44014,44014,3552.547000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,1,worker-1,44020,44014,3416.491000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,1,worker-2,44021,44014,3432.387000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,2,master,44076,44076,3489.827000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,2,worker-1,44078,44076,3319.399000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,2,worker-2,44079,44076,3420.357000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,3,master,44348,44348,3595.783000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,3,worker-1,44358,44348,3495.662000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,3,worker-2,44359,44348,3462.855000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,4,master,44407,44407,3647.766000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,4,worker-1,44409,44407,3727.204000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,4,worker-2,44410,44407,3465.033000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,5,master,44699,44699,3408.300000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,5,worker-1,44704,44699,3224.676000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,bfs,taskset-21-27,5,worker-2,44705,44699,3218.820000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,eevdf,cc,,1,master,302411,302411,2809.644000,100.00,0.00,0.00,0.00,0.00,"3:96.98, 0:3.02"
busy-cores,eevdf,cc,,1,worker-1,302416,302411,4173.431000,0.00,0.00,0.00,100.00,0.00,"23:79.06, 21:14.86, 27:6.08"
busy-cores,eevdf,cc,,1,worker-2,302417,302411,2719.952000,0.00,100.00,0.00,0.00,0.00,12:100.00
busy-cores,eevdf,cc,,2,master,302470,302470,4028.081000,38.49,0.00,34.39,27.12,0.00,"2:33.91, 14:31.27, 21:27.02, 0:3.88, 17:3.13, 3:0.69, 22:0.10"
busy-cores,eevdf,cc,,2,worker-1,302472,302470,4047.320000,0.00,0.00,0.00,100.00,0.00,"26:52.25, 22:46.38, 27:1.37"
busy-cores,eevdf,cc,,2,worker-2,302473,302470,2744.510000,0.00,100.00,0.00,0.00,0.00,"13:83.35, 7:16.65"
busy-cores,eevdf,cc,,3,master,302540,302540,2776.120000,100.00,0.00,0.00,0.00,0.00,"2:93.07, 3:4.03, 0:2.90"
busy-cores,eevdf,cc,,3,worker-1,302542,302540,4203.233000,0.00,0.00,0.00,100.00,0.00,"24:52.09, 27:47.91"
busy-cores,eevdf,cc,,3,worker-2,302543,302540,2714.164000,0.00,100.00,0.00,0.00,0.00,"13:69.09, 9:30.91"
busy-cores,eevdf,cc,,4,master,302611,302611,2848.322000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,eevdf,cc,,4,worker-1,302613,302611,4258.207000,0.00,0.00,0.00,100.00,0.00,27:100.00
busy-cores,eevdf,cc,,4,worker-2,302614,302611,4246.681000,0.00,0.00,100.00,0.00,0.00,20:100.00
busy-cores,eevdf,cc,,5,master,302667,302667,2790.540000,100.00,0.00,0.00,0.00,0.00,"4:87.32, 0:12.68"
busy-cores,eevdf,cc,,5,worker-1,302669,302667,4214.043000,0.00,0.00,0.00,100.00,0.00,"23:93.67, 27:6.33"
busy-cores,eevdf,cc,,5,worker-2,302670,302667,2686.695000,0.00,100.00,0.00,0.00,0.00,"12:46.35, 7:40.22, 9:13.43"
busy-cores,optimal,cc,,1,master,303766,303766,2576.265000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,cc,,1,worker-1,303768,303766,2461.379000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,cc,,1,worker-2,303769,303766,2456.913000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,cc,,2,master,303822,303822,2574.414000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,cc,,2,worker-1,303824,303822,2473.841000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,cc,,2,worker-2,303825,303822,2469.882000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,cc,,3,master,304155,304155,2571.314000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,cc,,3,worker-1,304157,304155,2466.033000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,cc,,3,worker-2,304158,304155,2461.792000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,cc,,4,master,304220,304220,2572.871000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,cc,,4,worker-1,304222,304220,2472.327000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,cc,,4,worker-2,304223,304220,2462.314000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,optimal,cc,,5,master,304275,304275,2586.491000,100.00,0.00,0.00,0.00,0.00,0:100.00
busy-cores,optimal,cc,,5,worker-1,304290,304275,2468.689000,100.00,0.00,0.00,0.00,0.00,1:100.00
busy-cores,optimal,cc,,5,worker-2,304291,304275,2464.015000,100.00,0.00,0.00,0.00,0.00,2:100.00
busy-cores,same-chiplet,cc,taskset-21-27,1,master,45542,45542,3874.165000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,cc,taskset-21-27,1,worker-1,45544,45542,3587.308000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,cc,taskset-21-27,1,worker-2,45545,45542,3525.953000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,cc,taskset-21-27,2,master,45712,45712,3841.208000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,cc,taskset-21-27,2,worker-1,45718,45712,3518.777000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,cc,taskset-21-27,2,worker-2,45719,45712,3607.633000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,cc,taskset-21-27,3,master,46036,46036,3652.500000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,cc,taskset-21-27,3,worker-1,46038,46036,3460.480000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,cc,taskset-21-27,3,worker-2,46039,46036,3414.960000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,cc,taskset-21-27,4,master,46333,46333,3500.050000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,cc,taskset-21-27,4,worker-1,46335,46333,3406.256000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,cc,taskset-21-27,4,worker-2,46336,46333,3314.531000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,same-chiplet,cc,taskset-21-27,5,master,46775,46775,3651.084000,0.00,0.00,0.00,100.00,0.00,21:100.00
busy-cores,same-chiplet,cc,taskset-21-27,5,worker-1,46785,46775,3581.127000,0.00,0.00,0.00,100.00,0.00,22:100.00
busy-cores,same-chiplet,cc,taskset-21-27,5,worker-2,46786,46775,3562.611000,0.00,0.00,0.00,100.00,0.00,23:100.00
busy-cores,eevdf,pr,,1,master,301547,301547,3057.772000,100.00,0.00,0.00,0.00,0.00,"0:61.66, 3:38.34"
busy-cores,eevdf,pr,,1,worker-1,301549,301547,4336.327000,0.00,0.00,0.00,100.00,0.00,"21:55.30, 27:39.98, 23:4.72"
busy-cores,eevdf,pr,,1,worker-2,301550,301547,2971.416000,0.00,67.48,32.52,0.00,0.00,"7:67.48, 20:32.52"
busy-cores,eevdf,pr,,2,master,301640,301640,3034.877000,100.00,0.00,0.00,0.00,0.00,"0:55.97, 1:34.01, 3:10.02"
busy-cores,eevdf,pr,,2,worker-1,301642,301640,3779.874000,28.05,0.00,71.95,0.00,0.00,"17:68.12, 0:23.88, 5:4.17, 14:3.25, 20:0.59"
busy-cores,eevdf,pr,,2,worker-2,301643,301640,4350.251000,0.00,0.00,0.00,100.00,0.00,"22:76.71, 21:17.72, 27:5.57"
busy-cores,eevdf,pr,,3,master,301812,301812,3172.110000,100.00,0.00,0.00,0.00,0.00,"0:52.15, 4:47.85"
busy-cores,eevdf,pr,,3,worker-1,301820,301812,4487.485000,0.00,0.00,100.00,0.00,0.00,"19:98.81, 20:1.19"
busy-cores,eevdf,pr,,3,worker-2,301821,301812,4455.968000,0.00,0.00,0.00,100.00,0.00,"21:72.07, 22:21.05, 27:6.32, 23:0.57"
busy-cores,eevdf,pr,,4,master,302023,302023,3018.079000,100.00,0.00,0.00,0.00,0.00,"2:93.69, 3:4.50, 0:1.81"
busy-cores,eevdf,pr,,4,worker-1,302025,302023,4386.533000,0.00,0.00,0.00,100.00,0.00,"23:90.81, 27:8.01, 26:1.18"
busy-cores,eevdf,pr,,4,worker-2,302026,302023,3082.362000,0.00,46.97,53.03,0.00,0.00,"20:53.03, 7:46.97"
busy-cores,eevdf,pr,,5,master,302349,302349,3107.854000,100.00,0.00,0.00,0.00,0.00,"0:54.28, 4:37.54, 2:7.41, 1:0.77"
busy-cores,eevdf,pr,,5,worker-1,302354,302349,4329.507000,0.00,0.00,0.00,100.00,0.00,"21:68.80, 22:25.49, 27:5.71"
