benchmark,placement,load_pct,rate,repeat,trial_time_s,slowdown_vs_load0,sum_noise_bandwidth_mbs
pr,same-core,0,,1,0.449570,1.000000,0.000000
pr,same-core,20,600,1,0.481040,1.070000,7020.070000
pr,same-core,40,300,1,0.458750,1.020420,14295.690000
pr,same-core,60,150,1,0.481800,1.071691,27984.940000
pr,same-core,80,100,1,1.828550,4.067331,34586.840000
pr,same-core,100,0,1,0.817220,1.817781,33646.320000
pr,same-llc,0,,1,0.450170,1.000000,0.000000
pr,same-llc,20,600,1,0.480240,1.066797,7017.480000
pr,same-llc,40,300,1,0.460580,1.023125,14288.830000
pr,same-llc,60,150,1,0.468540,1.040807,28029.990000
pr,same-llc,80,100,1,1.728560,3.839794,34640.080000
pr,same-llc,100,0,1,0.836290,1.857720,33635.700000
pr,optimal,0,,1,0.443000,1.000000,0.000000
pr,optimal,20,600,1,0.459360,1.036930,7019.250000
pr,optimal,40,300,1,0.459580,1.037427,14299.810000
pr,optimal,60,150,1,0.458710,1.035463,28074.460000
pr,optimal,80,100,1,0.460710,1.039977,34960.740000
pr,optimal,100,0,1,0.462520,1.044063,34060.860000
