benchmark,placement,load_pct,runs,mean_trial_time_s,stdev_trial_time_s,mean_slowdown_vs_load0,mean_noise_bandwidth_mbs
pr,same-core,0,1,0.449570,0.000000,1.000000,0.000000
pr,same-core,20,1,0.481040,0.000000,1.070000,7020.070000
pr,same-core,40,1,0.458750,0.000000,1.020420,14295.690000
pr,same-core,60,1,0.481800,0.000000,1.071691,27984.940000
pr,same-core,80,1,1.828550,0.000000,4.067331,34586.840000
pr,same-core,100,1,0.817220,0.000000,1.817781,33646.320000
pr,same-llc,0,1,0.450170,0.000000,1.000000,0.000000
pr,same-llc,20,1,0.480240,0.000000,1.066797,7017.480000
pr,same-llc,40,1,0.460580,0.000000,1.023125,14288.830000
pr,same-llc,60,1,0.468540,0.000000,1.040807,28029.990000
pr,same-llc,80,1,1.728560,0.000000,3.839794,34640.080000
pr,same-llc,100,1,0.836290,0.000000,1.857720,33635.700000
pr,optimal,0,1,0.443000,0.000000,1.000000,0.000000
pr,optimal,20,1,0.459360,0.000000,1.036930,7019.250000
pr,optimal,40,1,0.459580,0.000000,1.037427,14299.810000
pr,optimal,60,1,0.458710,0.000000,1.035463,28074.460000
pr,optimal,80,1,0.460710,0.000000,1.039977,34960.740000
pr,optimal,100,1,0.462520,0.000000,1.044063,34060.860000
