benchmark,case,benchmark_cpu,membind_node,load_pct,rate,repeat,trial_time_s,slowdown_vs_load0,sum_noise_bandwidth_mbs
bfs,culprit,4,1,0,,1,0.033140,0.997772,0.000000
bfs,culprit,4,1,0,,2,0.033230,1.000482,0.000000
bfs,culprit,4,1,0,,3,0.033210,0.999880,0.000000
bfs,culprit,4,1,0,,4,0.033260,1.001385,0.000000
bfs,culprit,4,1,0,,5,0.033230,1.000482,0.000000
bfs,culprit,4,1,25,1000,1,0.034090,1.026374,4279.980000
bfs,culprit,4,1,25,1000,2,0.034170,1.028783,4278.660000
bfs,culprit,4,1,25,1000,3,0.034080,1.026073,4278.230000
bfs,culprit,4,1,25,1000,4,0.034090,1.026374,4279.200000
bfs,culprit,4,1,25,1000,5,0.034280,1.032095,4279.380000
bfs,culprit,4,1,50,500,1,0.034550,1.040224,8358.550000
bfs,culprit,4,1,50,500,2,0.034680,1.044138,8358.610000
bfs,culprit,4,1,50,500,3,0.034790,1.047450,8357.720000
bfs,culprit,4,1,50,500,4,0.034390,1.035407,8357.910000
bfs,culprit,4,1,50,500,5,0.034510,1.039020,8357.480000
bfs,culprit,4,1,75,220,1,0.051010,1.535798,19153.800000
bfs,culprit,4,1,75,220,2,0.049190,1.481002,19183.700000
bfs,culprit,4,1,75,220,3,0.047810,1.439453,19162.570000
bfs,culprit,4,1,75,220,4,0.046950,1.413561,19176.270000
bfs,culprit,4,1,75,220,5,0.045930,1.382851,19201.510000
bfs,culprit,4,1,100,0,1,0.050100,1.508400,20076.230000
bfs,culprit,4,1,100,0,2,0.049500,1.490335,19984.620000
bfs,culprit,4,1,100,0,3,0.048620,1.463841,19937.490000
bfs,culprit,4,1,100,0,4,0.050220,1.512013,19998.170000
bfs,culprit,4,1,100,0,5,0.049040,1.476486,19920.970000
bfs,related-inter,7,1,0,,1,0.033140,1.003270,0.000000
bfs,related-inter,7,1,0,,2,0.032950,0.997518,0.000000
bfs,related-inter,7,1,0,,3,0.033000,0.999031,0.000000
bfs,related-inter,7,1,0,,4,0.033010,0.999334,0.000000
bfs,related-inter,7,1,0,,5,0.033060,1.000848,0.000000
bfs,related-inter,7,1,25,1000,1,0.033400,1.011141,4278.460000
bfs,related-inter,7,1,25,1000,2,0.033400,1.011141,4279.100000
bfs,related-inter,7,1,25,1000,3,0.033330,1.009022,4278.380000
bfs,related-inter,7,1,25,1000,4,0.033420,1.011746,4278.160000
bfs,related-inter,7,1,25,1000,5,0.033460,1.012957,4278.840000
bfs,related-inter,7,1,50,500,1,0.033650,1.018709,8357.460000
bfs,related-inter,7,1,50,500,2,0.033930,1.027186,8356.630000
bfs,related-inter,7,1,50,500,3,0.033790,1.022947,8357.530000
bfs,related-inter,7,1,50,500,4,0.033860,1.025067,8357.720000
bfs,related-inter,7,1,50,500,5,0.033920,1.026883,8355.900000
bfs,related-inter,7,1,75,220,1,0.035640,1.078954,19312.920000
bfs,related-inter,7,1,75,220,2,0.035700,1.080770,19311.650000
bfs,related-inter,7,1,75,220,3,0.035740,1.081981,19322.780000
bfs,related-inter,7,1,75,220,4,0.035720,1.081376,19321.000000
bfs,related-inter,7,1,75,220,5,0.035730,1.081678,19325.080000
bfs,related-inter,7,1,100,0,1,0.035520,1.075321,20868.360000
bfs,related-inter,7,1,100,0,2,0.035540,1.075926,20865.910000
bfs,related-inter,7,1,100,0,3,0.035670,1.079862,20858.770000
bfs,related-inter,7,1,100,0,4,0.035650,1.079256,20868.060000
bfs,related-inter,7,1,100,0,5,0.035630,1.078651,20871.390000
bfs,irrelevant-within,4,3,0,,1,0.032900,0.996125,0.000000
bfs,irrelevant-within,4,3,0,,2,0.033020,0.999758,0.000000
bfs,irrelevant-within,4,3,0,,3,0.033040,1.000363,0.000000
bfs,irrelevant-within,4,3,0,,4,0.033180,1.004602,0.000000
bfs,irrelevant-within,4,3,0,,5,0.033000,0.999152,0.000000
bfs,irrelevant-within,4,3,25,1000,1,0.033620,1.017924,4279.250000
bfs,irrelevant-within,4,3,25,1000,2,0.033740,1.021557,4279.090000
bfs,irrelevant-within,4,3,25,1000,3,0.033450,1.012777,4278.810000
bfs,irrelevant-within,4,3,25,1000,4,0.034560,1.046385,4277.630000
bfs,irrelevant-within,4,3,25,1000,5,0.033740,1.021557,4279.550000
bfs,irrelevant-within,4,3,50,500,1,0.034360,1.040329,8357.400000
bfs,irrelevant-within,4,3,50,500,2,0.033890,1.026099,8357.260000
bfs,irrelevant-within,4,3,50,500,3,0.033640,1.018530,8357.960000
bfs,irrelevant-within,4,3,50,500,4,0.036010,1.090287,8358.460000
bfs,irrelevant-within,4,3,50,500,5,0.033800,1.023374,8357.810000
bfs,irrelevant-within,4,3,75,220,1,0.035220,1.066368,19379.490000
bfs,irrelevant-within,4,3,75,220,2,0.035350,1.070304,19353.050000
bfs,irrelevant-within,4,3,75,220,3,0.035450,1.073332,19397.080000
bfs,irrelevant-within,4,3,75,220,4,0.038030,1.151447,19311.310000
bfs,irrelevant-within,4,3,75,220,5,0.035900,1.086957,19327.630000
bfs,irrelevant-within,4,3,100,0,1,0.044760,1.355214,20910.480000
bfs,irrelevant-within,4,3,100,0,2,0.044720,1.354003,20880.770000
bfs,irrelevant-within,4,3,100,0,3,0.044720,1.354003,20917.410000
bfs,irrelevant-within,4,3,100,0,4,0.045100,1.365508,20911.070000
bfs,irrelevant-within,4,3,100,0,5,0.044750,1.354911,20892.200000
bfs,irrelevant-inter,7,3,0,,1,0.032620,0.996883,0.000000
bfs,irrelevant-inter,7,3,0,,2,0.032730,1.000244,0.000000
bfs,irrelevant-inter,7,3,0,,3,0.032740,1.000550,0.000000
bfs,irrelevant-inter,7,3,0,,4,0.032740,1.000550,0.000000
bfs,irrelevant-inter,7,3,0,,5,0.032780,1.001773,0.000000
bfs,irrelevant-inter,7,3,25,1000,1,0.032880,1.004829,4278.510000
bfs,irrelevant-inter,7,3,25,1000,2,0.032660,0.998105,4278.440000
bfs,irrelevant-inter,7,3,25,1000,3,0.032840,1.003606,4278.440000
bfs,irrelevant-inter,7,3,25,1000,4,0.032800,1.002384,4279.000000
bfs,irrelevant-inter,7,3,25,1000,5,0.032730,1.000244,4278.880000
bfs,irrelevant-inter,7,3,50,500,1,0.032810,1.002689,8357.220000
bfs,irrelevant-inter,7,3,50,500,2,0.032910,1.005745,8354.470000
bfs,irrelevant-inter,7,3,50,500,3,0.032820,1.002995,8357.680000
bfs,irrelevant-inter,7,3,50,500,4,0.032870,1.004523,8356.560000
bfs,irrelevant-inter,7,3,50,500,5,0.032890,1.005134,8357.850000
bfs,irrelevant-inter,7,3,75,220,1,0.032930,1.006357,19345.920000
bfs,irrelevant-inter,7,3,75,220,2,0.032790,1.002078,19369.870000
bfs,irrelevant-inter,7,3,75,220,3,0.032760,1.001161,19364.930000
bfs,irrelevant-inter,7,3,75,220,4,0.032890,1.005134,19378.970000
bfs,irrelevant-inter,7,3,75,220,5,0.032790,1.002078,19326.300000
bfs,irrelevant-inter,7,3,100,0,1,0.032860,1.004217,21315.180000
bfs,irrelevant-inter,7,3,100,0,2,0.032790,1.002078,21315.570000
bfs,irrelevant-inter,7,3,100,0,3,0.032870,1.004523,21316.250000
