benchmark,case,benchmark_cpu,membind_node,load_pct,runs,mean_trial_time_s,stdev_trial_time_s,mean_slowdown_vs_load0,mean_sum_noise_bandwidth_mbs
bfs,culprit,4,1,0,5,0.033214,0.000045,1.000000,0.000000
bfs,culprit,4,1,25,5,0.034142,0.000085,1.027940,4279.090000
bfs,culprit,4,1,50,5,0.034584,0.000155,1.041248,8358.054000
bfs,culprit,4,1,75,5,0.048178,0.001984,1.450533,19175.570000
bfs,culprit,4,1,100,5,0.049496,0.000683,1.490215,19983.496000
bfs,related-inter,7,1,0,5,0.033032,0.000072,1.000000,0.000000
bfs,related-inter,7,1,25,5,0.033402,0.000047,1.011201,4278.588000
bfs,related-inter,7,1,50,5,0.033830,0.000115,1.024158,8357.048000
bfs,related-inter,7,1,75,5,0.035706,0.000040,1.080952,19318.686000
bfs,related-inter,7,1,100,5,0.035602,0.000068,1.077803,20866.498000
bfs,irrelevant-within,4,3,0,5,0.033028,0.000101,1.000000,0.000000
bfs,irrelevant-within,4,3,25,5,0.033822,0.000429,1.024040,4278.866000
bfs,irrelevant-within,4,3,50,5,0.034340,0.000971,1.039724,8357.778000
bfs,irrelevant-within,4,3,75,5,0.035990,0.001169,1.089682,19353.712000
bfs,irrelevant-within,4,3,100,5,0.044810,0.000163,1.356728,20902.386000
bfs,irrelevant-inter,7,3,0,5,0.032722,0.000060,1.000000,0.000000
bfs,irrelevant-inter,7,3,25,5,0.032782,0.000088,1.001834,4278.654000
bfs,irrelevant-inter,7,3,50,5,0.032860,0.000044,1.004217,8356.756000
bfs,irrelevant-inter,7,3,75,5,0.032832,0.000074,1.003362,19357.198000
bfs,irrelevant-inter,7,3,100,5,0.032838,0.000044,1.003545,21313.908000
pr,culprit,4,1,0,5,0.461062,0.003985,1.000000,0.000000
pr,culprit,4,1,25,5,0.510994,0.021617,1.108298,4278.876000
pr,culprit,4,1,50,5,0.518314,0.040310,1.124174,8357.638000
pr,culprit,4,1,75,5,0.706820,0.061471,1.533026,19159.020000
pr,culprit,4,1,100,5,0.761984,0.124847,1.652671,19923.340000
pr,related-inter,7,1,0,5,0.457824,0.004341,1.000000,0.000000
pr,related-inter,7,1,25,5,0.496486,0.004834,1.084447,4278.336000
pr,related-inter,7,1,50,5,0.516732,0.007862,1.128669,8357.188000
pr,related-inter,7,1,75,5,0.591048,0.002699,1.290994,19301.352000
pr,related-inter,7,1,100,5,0.523384,0.003881,1.143199,20805.482000
pr,irrelevant-within,4,3,0,5,0.442502,0.001811,1.000000,0.000000
pr,irrelevant-within,4,3,25,5,0.453878,0.010044,1.025709,4279.100000
pr,irrelevant-within,4,3,50,5,0.451760,0.007231,1.020922,8357.306000
pr,irrelevant-within,4,3,75,5,0.483324,0.028033,1.092253,19341.748000
pr,irrelevant-within,4,3,100,5,0.634284,0.126195,1.433404,20873.960000
pr,irrelevant-inter,7,3,0,5,0.440348,0.002778,1.000000,0.000000
pr,irrelevant-inter,7,3,25,5,0.441998,0.002099,1.003747,4278.822000
pr,irrelevant-inter,7,3,50,5,0.439900,0.001495,0.998983,8356.954000
pr,irrelevant-inter,7,3,75,5,0.440118,0.001686,0.999478,19343.414000
pr,irrelevant-inter,7,3,100,5,0.444388,0.008525,1.009174,21036.570000
