benchmark,policy,skewness,rotation,repeat,combo_id,combo_counts,skew_map,workload_core_map,noise_rate_map,ccd0_noise_bandwidth_mbs,ccd1_noise_bandwidth_mbs,ccd2_noise_bandwidth_mbs,ccd3_noise_bandwidth_mbs,total_noise_bandwidth_mbs,trial_time_s,slowdown_vs_skew0
pr,eevdf,0,2,1,eevdf,dynamic,"ccd0=50,ccd1=50,ccd2=50,ccd3=50","mask:0-3,7-10,14-17,21-24",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14509.210000,14508.490000,14530.570000,14519.430000,58067.700000,18.692510,1.000000
pr,eevdf,25,2,1,eevdf,dynamic,"ccd0=55,ccd1=60,ccd2=40,ccd3=45","mask:0-3,7-10,14-17,21-24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17944.970000,23699.080000,9209.650000,11637.450000,62491.150000,19.152660,1.024617
pr,eevdf,50,2,1,eevdf,dynamic,"ccd0=60,ccd1=70,ccd2=30,ccd3=40","mask:0-3,7-10,14-17,21-24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23582.950000,29658.350000,7009.700000,9206.920000,69457.920000,20.965940,1.121623
pr,eevdf,75,2,1,eevdf,dynamic,"ccd0=65,ccd1=80,ccd2=20,ccd3=35","mask:0-3,7-10,14-17,21-24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,29432.220000,27010.590000,7738.530000,8322.490000,72503.830000,22.885970,1.224339
pr,eevdf,100,2,1,eevdf,dynamic,"ccd0=75,ccd1=100,ccd2=0,ccd3=25","mask:0-3,7-10,14-17,21-24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,24742.720000,28013.580000,25386.630000,6267.060000,84409.990000,23.917840,1.279541
pr,optimal,0,2,1,optimal,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14517.030000,14510.980000,14541.900000,14532.640000,58102.550000,18.856080,1.000000
pr,optimal,25,2,1,optimal,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17885.830000,23722.980000,9211.730000,11648.140000,62468.680000,18.389330,0.975247
pr,optimal,50,2,1,optimal,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23686.620000,32709.410000,7007.300000,9209.270000,72612.600000,18.355060,0.973429
pr,optimal,75,2,1,optimal,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,31765.210000,28688.970000,7735.650000,8324.960000,76514.790000,19.265320,1.021703
pr,optimal,100,2,1,optimal,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,25889.280000,34291.960000,22639.930000,6260.810000,89081.980000,21.045880,1.116132
pr,same-chiplet,0,2,1,same-chiplet-rot0,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14513.360000,14510.260000,14550.510000,14525.170000,58099.300000,18.928040,0.989533
pr,same-chiplet,0,2,1,same-chiplet-rot1,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14515.210000,14522.360000,14540.570000,14508.360000,58086.500000,19.077130,0.997327
pr,same-chiplet,0,2,1,same-chiplet-rot2,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14543.810000,14510.050000,14534.270000,14510.210000,58098.340000,19.705980,1.030203
pr,same-chiplet,0,2,1,same-chiplet-rot3,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14528.810000,14514.070000,14538.140000,14533.690000,58114.710000,18.801860,0.982937
pr,same-chiplet,25,2,1,same-chiplet-rot0,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17904.810000,23713.070000,9207.110000,11629.340000,62454.330000,18.418710,0.962906
