benchmark,policy,skewness,runs,mean_trial_time_s,stdev_trial_time_s,mean_slowdown_vs_skew0,mean_ccd0_noise_bandwidth_mbs,mean_ccd1_noise_bandwidth_mbs,mean_ccd2_noise_bandwidth_mbs,mean_ccd3_noise_bandwidth_mbs,mean_total_noise_bandwidth_mbs
pr,eevdf,0,1,18.692510,0.000000,1.000000,14509.210000,14508.490000,14530.570000,14519.430000,58067.700000
pr,eevdf,25,1,19.152660,0.000000,1.024617,17944.970000,23699.080000,9209.650000,11637.450000,62491.150000
pr,eevdf,50,1,20.965940,0.000000,1.121623,23582.950000,29658.350000,7009.700000,9206.920000,69457.920000
pr,eevdf,75,1,22.885970,0.000000,1.224339,29432.220000,27010.590000,7738.530000,8322.490000,72503.830000
pr,eevdf,100,1,23.917840,0.000000,1.279541,24742.720000,28013.580000,25386.630000,6267.060000,84409.990000
pr,optimal,0,1,18.856080,0.000000,1.000000,14517.030000,14510.980000,14541.900000,14532.640000,58102.550000
pr,optimal,25,1,18.389330,0.000000,0.975247,17885.830000,23722.980000,9211.730000,11648.140000,62468.680000
pr,optimal,50,1,18.355060,0.000000,0.973429,23686.620000,32709.410000,7007.300000,9209.270000,72612.600000
pr,optimal,75,1,19.265320,0.000000,1.021703,31765.210000,28688.970000,7735.650000,8324.960000,76514.790000
pr,optimal,100,1,21.045880,0.000000,1.116132,25889.280000,34291.960000,22639.930000,6260.810000,89081.980000
pr,same-chiplet,0,4,19.128253,0.401248,1.000000,14525.297500,14514.185000,14540.872500,14519.357500,58099.712500
pr,same-chiplet,25,4,21.829947,3.490041,1.141241,17882.510000,23643.282500,9209.370000,11636.512500,62371.675000
pr,same-chiplet,50,4,24.737443,6.371849,1.293241,23431.400000,29506.752500,7011.140000,9213.125000,69162.417500
pr,same-chiplet,75,4,22.901525,4.103676,1.197262,30620.222500,26320.437500,7739.195000,8333.387500,73013.242500
pr,same-chiplet,100,4,24.806812,3.915928,1.296868,24005.952500,30083.137500,24640.670000,6265.347500,84995.107500
