benchmark,policy,skewness,rotation,repeat,combo_id,benchmark_variant,combo_counts,skew_map,workload_core_map,noise_rate_map,ccd0_noise_bandwidth_mbs,ccd1_noise_bandwidth_mbs,ccd2_noise_bandwidth_mbs,ccd3_noise_bandwidth_mbs,total_noise_bandwidth_mbs,primary_metric_name,primary_metric_value,npb_time_s,mops_total,verification,slowdown_vs_skew0
skiplist-rw50,eevdf,0,2,1,eevdf,skiplist-mlnr1-scaleout-wr50,dynamic,"ccd0=50,ccd1=50,ccd2=50,ccd3=50","mask:0-3,7-10,14-17,21-24",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14525.520000,13660.000000,14523.150000,14481.590000,57190.260000,throughput_mops,0.793408,,0.793408,OK,1.000000
skiplist-rw50,eevdf,25,2,1,eevdf,skiplist-mlnr1-scaleout-wr50,dynamic,"ccd0=55,ccd1=60,ccd2=40,ccd3=45","mask:0-3,7-10,14-17,21-24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17795.500000,23689.050000,9211.200000,11644.120000,62339.870000,throughput_mops,0.758560,,0.758560,OK,1.045940
skiplist-rw50,eevdf,50,2,1,eevdf,skiplist-mlnr1-scaleout-wr50,dynamic,"ccd0=60,ccd1=70,ccd2=30,ccd3=40","mask:0-3,7-10,14-17,21-24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23686.090000,33182.160000,7011.940000,9215.460000,73095.650000,throughput_mops,0.720512,,0.720512,OK,1.101172
skiplist-rw50,eevdf,75,2,1,eevdf,skiplist-mlnr1-scaleout-wr50,dynamic,"ccd0=65,ccd1=80,ccd2=20,ccd3=35","mask:0-3,7-10,14-17,21-24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,33735.870000,28941.130000,7741.170000,8335.320000,78753.490000,throughput_mops,0.713824,,0.713824,OK,1.111490
skiplist-rw50,eevdf,100,2,1,eevdf,skiplist-mlnr1-scaleout-wr50,dynamic,"ccd0=75,ccd1=100,ccd2=0,ccd3=25","mask:0-3,7-10,14-17,21-24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,26996.960000,34277.700000,27349.740000,6266.490000,94890.890000,throughput_mops,0.684224,,0.684224,OK,1.159573
skiplist-rw50,optimal-pinned,0,2,1,optimal-pinned,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14529.430000,14494.140000,14522.620000,14521.550000,58067.740000,throughput_mops,0.916352,,0.916352,OK,1.000000
skiplist-rw50,optimal-pinned,25,2,1,optimal-pinned,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17821.370000,23687.790000,9213.380000,11639.540000,62362.080000,throughput_mops,0.919744,,0.919744,OK,0.996312
skiplist-rw50,optimal-pinned,50,2,1,optimal-pinned,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=60,ccd1=70,ccd2=30,ccd3=40","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:132;ccd1:44;ccd2:444;ccd3:332,23664.170000,33235.510000,7010.850000,9213.850000,73124.380000,throughput_mops,0.905824,,0.905824,OK,1.011623
skiplist-rw50,optimal-pinned,75,2,1,optimal-pinned,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=65,ccd1=80,ccd2=20,ccd3=35","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:88;ccd1:10;ccd2:400;ccd3:388,33708.740000,29010.350000,7742.280000,8330.010000,78791.380000,throughput_mops,0.658816,,0.658816,OK,1.390907
skiplist-rw50,optimal-pinned,100,2,1,optimal-pinned,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=75,ccd1=100,ccd2=0,ccd3=25","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:0;ccd1:50;ccd2:0;ccd3:500,27027.940000,34432.370000,27364.040000,6267.590000,95091.940000,throughput_mops,0.828320,,0.828320,OK,1.106278
skiplist-rw50,same-chiplet,0,2,1,same-chiplet-rot0,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=4,ccd2=1,ccd3=0","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0,1,2,3;ccd1:7,8,9,10;ccd2:14;ccd3:",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14535.680000,14516.830000,14536.240000,14524.220000,58112.970000,throughput_mops,0.914176,,0.914176,OK,1.012076
skiplist-rw50,same-chiplet,0,2,1,same-chiplet-rot1,skiplist-mlnr1-scaleout-wr50,"ccd0=4,ccd1=1,ccd2=0,ccd3=4","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0,1,2,3;ccd1:7;ccd2:;ccd3:21,22,23,24",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14537.720000,14547.390000,14547.590000,14529.540000,58162.240000,throughput_mops,0.922464,,0.922464,OK,1.002983
skiplist-rw50,same-chiplet,0,2,1,same-chiplet-rot2,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14553.370000,14536.620000,14538.710000,14548.640000,58177.340000,throughput_mops,0.946080,,0.946080,OK,0.977947
skiplist-rw50,same-chiplet,0,2,1,same-chiplet-rot3,skiplist-mlnr1-scaleout-wr50,"ccd0=0,ccd1=4,ccd2=4,ccd3=1","ccd0=50,ccd1=50,ccd2=50,ccd3=50","ccd0:;ccd1:7,8,9,10;ccd2:14,15,16,17;ccd3:21",ccd0:220;ccd1:220;ccd2:220;ccd3:220,14530.390000,14514.390000,14539.790000,14538.570000,58123.140000,throughput_mops,0.918144,,0.918144,OK,1.007702
skiplist-rw50,same-chiplet,25,2,1,same-chiplet-rot0,skiplist-mlnr1-scaleout-wr50,"ccd0=1,ccd1=0,ccd2=4,ccd3=4","ccd0=55,ccd1=60,ccd2=40,ccd3=45","ccd0:0;ccd1:;ccd2:14,15,16,17;ccd3:21,22,23,24",ccd0:176;ccd1:132;ccd2:332;ccd3:276,17822.320000,23725.590000,9214.750000,11642.010000,62404.670000,throughput_mops,0.916896,,0.916896,OK,1.009074
