benchmark,policy,skewness,primary_metric_name,runs,successful_runs,verification_ok_ratio,mean_primary_metric_value,stdev_primary_metric_value,mean_npb_time_s,stdev_npb_time_s,mean_slowdown_vs_skew0,mean_mops_total,stdev_mops_total,mean_ccd0_noise_bandwidth_mbs,mean_ccd1_noise_bandwidth_mbs,mean_ccd2_noise_bandwidth_mbs,mean_ccd3_noise_bandwidth_mbs,mean_total_noise_bandwidth_mbs
skiplist-rw50,eevdf,0,throughput_mops,1,1,1.000000,0.793408,0.000000,,,1.000000,0.793408,0.000000,14525.520000,13660.000000,14523.150000,14481.590000,57190.260000
skiplist-rw50,eevdf,25,throughput_mops,1,1,1.000000,0.758560,0.000000,,,1.045940,0.758560,0.000000,17795.500000,23689.050000,9211.200000,11644.120000,62339.870000
skiplist-rw50,eevdf,50,throughput_mops,1,1,1.000000,0.720512,0.000000,,,1.101172,0.720512,0.000000,23686.090000,33182.160000,7011.940000,9215.460000,73095.650000
skiplist-rw50,eevdf,75,throughput_mops,1,1,1.000000,0.713824,0.000000,,,1.111490,0.713824,0.000000,33735.870000,28941.130000,7741.170000,8335.320000,78753.490000
skiplist-rw50,eevdf,100,throughput_mops,1,1,1.000000,0.684224,0.000000,,,1.159573,0.684224,0.000000,26996.960000,34277.700000,27349.740000,6266.490000,94890.890000
skiplist-rw50,optimal-pinned,0,throughput_mops,1,1,1.000000,0.916352,0.000000,,,1.000000,0.916352,0.000000,14529.430000,14494.140000,14522.620000,14521.550000,58067.740000
skiplist-rw50,optimal-pinned,25,throughput_mops,1,1,1.000000,0.919744,0.000000,,,0.996312,0.919744,0.000000,17821.370000,23687.790000,9213.380000,11639.540000,62362.080000
skiplist-rw50,optimal-pinned,50,throughput_mops,1,1,1.000000,0.905824,0.000000,,,1.011623,0.905824,0.000000,23664.170000,33235.510000,7010.850000,9213.850000,73124.380000
skiplist-rw50,optimal-pinned,75,throughput_mops,1,1,1.000000,0.658816,0.000000,,,1.390907,0.658816,0.000000,33708.740000,29010.350000,7742.280000,8330.010000,78791.380000
skiplist-rw50,optimal-pinned,100,throughput_mops,1,1,1.000000,0.828320,0.000000,,,1.106278,0.828320,0.000000,27027.940000,34432.370000,27364.040000,6267.590000,95091.940000
skiplist-rw50,same-chiplet,0,throughput_mops,4,4,1.000000,0.925216,0.014315,,,1.000000,0.925216,0.014315,14539.290000,14528.807500,14540.582500,14535.242500,58143.922500
skiplist-rw50,same-chiplet,25,throughput_mops,4,4,1.000000,0.909136,0.009434,,,1.017687,0.909136,0.009434,17852.070000,23711.585000,9216.212500,11644.880000,62424.747500
skiplist-rw50,same-chiplet,50,throughput_mops,4,4,1.000000,0.832960,0.070559,,,1.110757,0.832960,0.070559,23674.765000,33235.810000,7012.165000,9217.382500,73140.122500
skiplist-rw50,same-chiplet,75,throughput_mops,4,4,1.000000,0.732680,0.122880,,,1.262783,0.732680,0.122880,33731.187500,28931.487500,7741.047500,8335.412500,78739.135000
skiplist-rw50,same-chiplet,100,throughput_mops,4,4,1.000000,0.734512,0.060877,,,1.259634,0.734512,0.060877,27035.692500,34261.142500,27369.960000,6267.117500,94933.912500
