pair,traffic_type,traffic_threads,payload_kib,repeat,bandwidth_gibs
intra,none,0,256,1,26.144195
intra,none,0,256,2,26.052761
intra,none,0,256,3,26.008657
intra,none,0,256,4,25.944343
intra,none,0,256,5,26.139909
intra,none,0,256,6,25.977437
intra,none,0,256,7,26.113315
intra,none,0,256,8,26.046095
intra,none,0,256,9,26.336815
intra,none,0,256,10,26.274359
intra,l3,5,256,1,25.570854
intra,l3,5,256,2,25.625120
intra,l3,5,256,3,25.524821
intra,l3,5,256,4,25.728646
intra,l3,5,256,5,25.590558
intra,l3,5,256,6,25.502012
intra,l3,5,256,7,25.483639
intra,l3,5,256,8,25.303388
intra,l3,5,256,9,25.512026
intra,l3,5,256,10,25.532297
intra,full-load,82,256,1,20.105889
intra,full-load,82,256,2,19.960679
intra,full-load,82,256,3,19.980914
intra,full-load,82,256,4,19.825246
intra,full-load,82,256,5,19.891491
intra,full-load,82,256,6,19.796686
intra,full-load,82,256,7,19.916586
intra,full-load,82,256,8,19.910825
intra,full-load,82,256,9,19.902874
intra,full-load,82,256,10,19.868329
inter,none,0,256,1,9.434145
inter,none,0,256,2,9.497190
inter,none,0,256,3,9.492362
inter,none,0,256,4,9.563432
inter,none,0,256,5,9.549785
inter,none,0,256,6,9.446896
inter,none,0,256,7,9.587951
inter,none,0,256,8,9.558314
inter,none,0,256,9,9.473715
inter,none,0,256,10,9.495242
inter,l3,5,256,1,9.423472
inter,l3,5,256,2,9.410688
inter,l3,5,256,3,9.386408
inter,l3,5,256,4,9.365240
inter,l3,5,256,5,9.389664
inter,l3,5,256,6,9.375720
inter,l3,5,256,7,9.402483
inter,l3,5,256,8,9.383187
inter,l3,5,256,9,9.448279
inter,l3,5,256,10,9.421093
inter,io,70,256,1,6.319467
inter,io,70,256,2,6.320783
inter,io,70,256,3,6.334822
inter,io,70,256,4,6.228406
inter,io,70,256,5,6.262431
inter,io,70,256,6,6.268742
inter,io,70,256,7,6.313240
inter,io,70,256,8,6.325585
inter,io,70,256,9,6.298302
inter,io,70,256,10,6.341287
inter,full-load,82,256,1,4.080540
inter,full-load,82,256,2,4.267356
inter,full-load,82,256,3,4.258475
inter,full-load,82,256,4,4.235525
inter,full-load,82,256,5,4.254500
inter,full-load,82,256,6,4.322246
inter,full-load,82,256,7,4.252467
inter,full-load,82,256,8,4.270504
inter,full-load,82,256,9,4.026315
inter,full-load,82,256,10,4.242687
