pair,payload_kib,repeat,bandwidth_gibs
intra,64,1,23.932203
intra,64,2,23.886434
intra,64,3,23.665959
intra,128,1,25.188978
intra,128,2,25.852213
intra,128,3,25.321584
intra,256,1,26.107414
intra,256,2,26.020850
intra,256,3,25.973497
intra,512,1,25.224437
intra,512,2,26.045774
intra,512,3,26.230829
inter,64,1,9.398536
inter,64,2,9.334148
inter,64,3,9.374166
inter,128,1,9.492309
inter,128,2,9.385912
inter,128,3,9.422737
inter,256,1,9.526306
inter,256,2,9.575888
inter,256,3,9.523239
inter,512,1,9.440590
inter,512,2,9.561643
inter,512,3,9.548961
