noise_nthreads	noise_config_file	noise_stdout_log	noise_stderr_log	noise_latency_output	ycsb_bundle_dir	timestamp_utc	host	arch	backend	mode	event_name	perf_scope	size_mb	working_set_mb_per_instance	total_working_set_mb	instance_count	cpu_span	recordcount_per_instance	total_recordcount	operationcount_per_instance	total_operationcount	threads_per_instance	java_active_processor_count_per_instance	fieldcount	fieldlength	approx_value_bytes_per_record	summed_stall_cycles	summed_cycles	summed_instructions	summed_task_clock_ms	summed_instance_throughput_ops_per_sec	group_wall_clock_ms	aggregate_wall_throughput_ops_per_sec	ServerPerfUserTimeMs	ServerPerfKernelTimeMs	ServerPerfCacheRefs	ServerPerfCacheMisses	ServerPerfLLCHitRatio	status	perf_event	workload_file	result_dir
1	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/01t/memory_benchmark.01t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/01t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/01t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/01t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/01t/ycsb_bundle	2026-03-13T20:46:12Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	6956372262	9654209699	17649812732	4061.540000	2774.694784	4184.747	2389.630723	3340.000000	760.000000	85269630	26092256	0.577919	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204600Z_1993672
2	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/02t/memory_benchmark.02t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/02t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/02t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/02t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/02t/ycsb_bundle	2026-03-13T20:46:25Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	6861932003	9400911722	16282367899	3985.400000	2840.909091	4093.668	2442.797022	3210.000000	820.000000	82786543	26810244	0.553292	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204614Z_1993907
3	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/03t/memory_benchmark.03t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/03t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/03t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/03t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/03t/ycsb_bundle	2026-03-13T20:46:38Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	6716580457	9203573098	15992849091	3912.420000	2891.008962	4023.889	2485.158015	3190.000000	760.000000	82778185	26934619	0.556810	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204627Z_1994132
4	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/04t/memory_benchmark.04t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/04t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/04t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/04t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/04t/ycsb_bundle	2026-03-13T20:46:52Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	6755767102	9241664411	15977886448	3926.160000	2889.338342	4038.308	2476.284622	3210.000000	760.000000	80286860	27112364	0.529959	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204641Z_1994358
5	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/05t/memory_benchmark.05t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/05t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/05t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/05t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/05t/ycsb_bundle	2026-03-13T20:47:06Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	6833083948	9438995955	16997365244	3993.920000	2820.874471	4107.892	2434.338585	3260.000000	770.000000	82178276	28026246	0.533954	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204654Z_1994585
6	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/06t/memory_benchmark.06t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/06t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/06t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/06t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/06t/ycsb_bundle	2026-03-13T20:47:20Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	6760601791	9251784034	16044444257	3929.930000	2867.794666	4053.281	2467.137117	3220.000000	750.000000	80990282	27977053	0.525230	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204708Z_1994814
7	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/07t/memory_benchmark.07t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/07t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/07t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/07t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/07t/ycsb_bundle	2026-03-13T20:47:33Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	6929069501	9463446499	16354230115	4012.430000	2822.466836	4129.625	2421.527378	3250.000000	810.000000	83489208	29010046	0.525167	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204722Z_1995044
8	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/08t/memory_benchmark.08t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/08t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/08t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/08t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/08t/ycsb_bundle	2026-03-13T20:47:47Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7108089435	9813558405	17777164222	4141.080000	2700.513097	4264.018	2345.205860	3400.000000	780.000000	86415639	29751735	0.541803	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204735Z_1995275
9	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/09t/memory_benchmark.09t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/09t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/09t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/09t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/09t/ycsb_bundle	2026-03-13T20:48:01Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7052586690	9603835119	16405699469	4102.330000	2731.494127	4235.328	2361.092222	3300.000000	850.000000	82777591	29299973	0.516500	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204749Z_1995515
10	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/10t/memory_benchmark.10t.xml	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/10t/memory_benchmark.stdout.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/10t/memory_benchmark.stderr.log	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/10t/memory_benchmark.latency.txt	/home/seunghyun/ycsb/results/intel_noise_thread_sweep_madracks-snode1_20260313T204558Z_1993648/runs/10t/ycsb_bundle	2026-03-13T20:48:15Z	madracks-snode1	intel	orientdb	embedded	NO_RETIRED_INST_CYCLES	user	128	128	128	1	0-0	8192	8192	10000	10000	1	1	1	16374	16384	7023218429	9558545187	16327374840	4087.750000	2746.498215	4205.604	2377.779743	3280.000000	850.000000	83531103	29135053	0.524260	ok	cpu/event=0xc0,cmask=1,inv=1/	/home/seunghyun/ycsb/workloads/working_set_128mb.properties	/home/seunghyun/ycsb/results/intel_orientdb_multi_instance_madracks-snode1_20260313T204803Z_1995748
